Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  01:00:00,561862360.94353,561862360.94353,4597200.,158309273.450227,224813060.552967 
 07/21  02:00:00,562037678.610743,562037678.610743,4597200.,158309273.450227,224813060.552967 
 07/21  03:00:00,564627243.512394,564627243.512395,4597200.,158309273.450227,224813060.552967 
 07/21  04:00:00,566533209.737341,566533209.737341,4597200.,158309273.450227,224813060.552967 
 07/21  05:00:00,568276570.822747,568276570.822747,4597200.,158309273.450227,224813060.552967 
 07/21  06:00:00,610846860.963856,610846860.963856,4597200.,157961488.405541,224813060.552967 
 07/21  07:00:00,662011014.186572,662011014.186572,4597200.,133148731.06777,224813060.552967 
 07/21  08:00:00,717365808.438264,717365808.438264,4597200.,125219216.098469,224813060.552967 
 07/21  09:00:00,723827932.894687,723827932.894687,4597200.,124547812.705665,224813060.552967 
 07/21  10:00:00,743143847.110099,743143847.110099,4597200.,124547812.705665,224813060.552967 
 07/21  11:00:00,759574444.104121,759574444.104121,8867858.15232364,124547812.705665,224813060.552967 
 07/21  12:00:00,767581947.589347,767581947.589347,13303000.4121199,124547812.705665,224813060.552967 
 07/21  13:00:00,771427833.066814,771427833.066814,17977611.6103747,124547812.705665,224813060.552967 
 07/21  14:00:00,784115588.391704,784115588.391704,17880185.5318174,124547812.705665,224813060.552967 
 07/21  15:00:00,794601584.818438,794601584.818438,9398720.83311645,124547812.705665,224813060.552967 
 07/21  16:00:00,796304996.108364,796304996.108364,12444000.5547777,124547812.705665,224813060.552967 
 07/21  17:00:00,791633223.28615,791633223.28615,13241215.3825242,124547812.705665,224813060.552967 
 07/21  18:00:00,772544774.427491,772544774.427491,8741928.82919056,125375795.938401,224813060.552967 
 07/21  19:00:00,743051389.77142,743051389.771419,8695371.50166701,136595932.326079,224813060.552967 
 07/21  20:00:00,748348231.281558,748348231.281558,4597200.,158309273.450227,224813060.552967 
 07/21  21:00:00,734125128.196791,734125128.196791,4597200.,158309273.450227,224813060.552967 
 07/21  22:00:00,720618780.122461,720618780.122461,4597200.,158309273.450227,224813060.552967 
 07/21  23:00:00,522803673.042293,522803673.042293,4597200.,158309273.450227,224813060.552967 
 07/21  24:00:00,565907149.404304,565907149.404304,4597200.,158309273.450227,224813060.552967 
 06/20  01:00:00,61036246.3129311,61036246.3129311,4597200.,7915463.67251136,33399901.5013581 
 06/20  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
