Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  14:00:00,8.64932348607993,15.6002287332801,16.,24.0888271114764,0.241964152852291 
 01/21  14:15:00,8.64932348607993,15.6002270163898,16.,24.0802468556663,0.241964152852291 
 01/21  14:30:00,8.64932348607993,15.600226222123,16.,24.0901051762309,0.241964152852291 
 01/21  14:45:00,8.64932348607993,15.6002187442378,16.,24.0803773527933,0.241964152852291 
 01/21  15:00:00,8.64932348607993,15.6002090432209,16.,24.0720299726469,0.241964152852291 
 01/21  15:15:00,8.64932348607993,15.6002012886042,16.,24.0639589113272,0.241964152852291 
 01/21  15:30:00,8.64932348607993,15.600196552249,16.,24.0665484483417,0.241964152852291 
 01/21  15:45:00,8.64932348607993,15.6001901334377,16.,24.058725323119,0.241964152852291 
 01/21  16:00:00,8.64932348607993,15.6001832639634,16.,24.05108584847,0.241964152852291 
 01/21  16:15:00,8.64932348607993,15.6001775785457,16.,24.0436283383803,0.241964152852291 
 01/21  16:30:00,8.64932348607993,15.6001734074326,16.,24.0311981409362,0.241964152852291 
