Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/21  12:00:00,511916079.010981,511916079.010981,9024643.14016911,96660690.5880898,177667514.306075 
 06/21  13:00:00,538268757.006508,538268757.006508,17876103.5464484,96660690.5880898,179858086.836092 
 06/21  14:00:00,520152663.77489,520152663.77489,8830918.28977471,96660690.5880898,167093070.352576 
 06/21  15:00:00,512124092.3288,512124092.3288,13011010.1378512,96999359.5112913,167093070.352576 
 06/21  16:00:00,493318024.420717,493318024.420718,13218918.0128517,96961729.6309355,177537174.74818 
 06/21  17:00:00,361994126.637806,361994126.637806,8759856.77249805,55735571.4423995,140923939.573165 
 06/21  18:00:00,257870620.142505,257870620.142505,8695538.59473819,33401809.5151402,69106004.4057846 
 06/21  19:00:00,247782657.634233,247782657.634233,4597200.,37724569.0766118,59822356.0541363 
 06/21  20:00:00,260089858.35399,260089858.35399,8659468.89928761,27302827.8427063,59822356.0541363 
 06/21  21:00:00,255041451.571961,255041451.571961,4597200.,27302827.8427063,55180531.8783121 
 06/21  22:00:00,144863349.259421,144863349.259421,4597200.,13651413.9213531,55180531.8783121 
 06/21  23:00:00,110715564.877024,110715564.877024,4597200.,6825706.96067657,55180531.8783121 
 06/21  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
