Time,TSupCor.T,flo.temAirPer5.T,VSupCor_flow.V_flow
2810,293.15,292.977,1.27803e-012
2820,293.15,292.977,-5.11212e-012
2820,293.15,292.977,-5.11212e-012
2830,293.15,292.977,1.27803e-012
2830,293.15,292.977,1.27803e-012
2840,293.15,292.977,0
2840,293.15,292.977,0
2850,293.15,292.977,0
2850,293.15,292.977,0
2860,293.15,292.978,1.27803e-012
2860,293.15,292.978,1.27803e-012
2870,293.15,292.978,1.27803e-012
2870,293.15,292.978,1.27803e-012
2880,293.15,292.978,2.55606e-012
2880,293.15,292.978,2.55606e-012
2890,293.15,292.978,0
2890,293.15,292.978,0
2900,293.15,292.978,2.55606e-012
2900,293.15,292.978,2.55606e-012
2910,293.15,292.978,0
2910,293.15,292.978,0
2920,293.15,292.978,1.27803e-012
2920,293.15,292.978,1.27803e-012
2930,293.15,292.978,-2.55606e-012
2930,293.15,292.978,-2.55606e-012
2940,293.15,292.978,1.27803e-012
2940,293.15,292.978,1.27803e-012
2950,293.15,292.978,-1.27803e-012
2950,293.15,292.978,-1.27803e-012
2960,293.15,292.978,0
2960,293.15,292.978,0
2970,293.15,292.978,0
2970,293.15,292.978,0
2980,293.15,292.978,2.55606e-012
2980,293.15,292.978,2.55606e-012
2990,293.15,292.978,0
2990,293.15,292.978,0
3000,293.15,292.978,1.27803e-012
3000,293.15,292.978,1.27803e-012
3010,293.15,292.978,0
3010,293.15,292.978,0
3020,293.15,292.978,-1.27803e-012
3020,293.15,292.978,-1.27803e-012
3030,293.15,292.978,-5.11212e-012
3030,293.15,292.978,-5.11212e-012
3040,293.15,292.978,0
3040,293.15,292.978,0
3050,293.15,292.978,-6.39015e-012
3050,293.15,292.978,-6.39015e-012
3060,293.15,292.978,0
3060,293.15,292.978,0
3070,293.15,292.978,0
3070,293.15,292.978,0
3080,293.15,292.978,-1.27803e-012
3080,293.15,292.978,-1.27803e-012
3090,293.15,292.978,0
3090,293.15,292.978,0
3100,293.15,292.978,0
3100,293.15,292.978,0
3110,293.15,292.978,0
3110,293.15,292.978,0
3120,293.15,292.978,0
3120,293.15,292.978,0
3130,293.15,292.978,1.27803e-012
3130,293.15,292.978,1.27803e-012
3140,293.15,292.978,-1.15023e-011
3140,293.15,292.978,-1.15023e-011
3150,293.15,292.978,1.27803e-012
3150,293.15,292.978,1.27803e-012
3160,293.15,292.978,0
3160,293.15,292.978,0
3170,293.15,292.978,-1.27803e-012
3170,293.15,292.978,-1.27803e-012
3180,293.15,292.978,1.27803e-012
3180,293.15,292.978,1.27803e-012
3190,293.15,292.978,2.55606e-012
3190,293.15,292.978,2.55606e-012
3200,293.15,292.978,-1.27803e-012
3200,293.15,292.978,-1.27803e-012
3210,293.15,292.978,0
3210,293.15,292.978,0
3220,293.15,292.978,0
3220,293.15,292.978,0
3230,293.15,292.978,-1.27803e-012
3230,293.15,292.978,-1.27803e-012
3240,293.15,292.978,0
3240,293.15,292.978,0
3250,293.15,292.978,0
3250,293.15,292.978,0
3260,293.15,292.978,0
3260,293.15,292.978,0
3270,293.15,292.978,0
3270,293.15,292.978,0
3280,293.15,292.978,0
3280,293.15,292.978,0
