Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 03/24  06:00:00,230458788.546998,230458788.546998,6791184.,10829279.4087343,55180531.8783121 
 03/24  07:00:00,349548387.287234,349548387.287234,205475436.204879,36343021.1489805,95796493.4167736 
 03/24  08:00:00,408955776.6361,408955776.6361,194457904.33386,93788391.522482,204227663.759169 
 03/24  09:00:00,344780911.622403,344780911.622403,181226349.04142,93124323.8539151,174055806.616312 
 03/24  10:00:00,317711310.376568,317711310.376568,180396192.13286,93124323.8539151,167093070.352576 
 03/24  11:00:00,304848215.882694,304848215.882694,173340556.623728,93124323.8539151,174055806.616312 
 03/24  12:00:00,335527628.157607,335527628.157607,156910129.669635,93124323.8539151,177667514.306075 
 03/24  13:00:00,296347311.014755,296347311.014755,137963640.753649,93124323.8539151,179858086.836092 
 03/24  14:00:00,281366216.883876,281366216.883876,133371106.415061,93124323.8539151,167093070.352576 
 03/24  15:00:00,277998762.567466,277998762.567466,118535938.654362,93124323.8539151,167093070.352576 
 03/24  16:00:00,289398316.407434,289398316.407434,112487301.309844,93124323.8539151,177537174.74818 
 03/24  17:00:00,257847408.173452,257847408.173452,116015606.207309,51735735.4743973,140923939.573165 
 03/24  18:00:00,161097019.357511,161097019.357511,136704256.281267,32016565.603119,69106004.4057846 
 03/24  19:00:00,177904341.060889,177904341.060889,145827101.404827,38881331.1836769,59822356.0541363 
 03/24  20:00:00,187038197.967978,187038197.967978,154300454.738998,26303943.8957325,59822356.0541363 
 03/24  21:00:00,191007284.691863,191007284.691863,157745769.710111,26303943.8957325,55180531.8783121 
 03/24  22:00:00,80271371.636263,80271371.6362629,6791184.,13151971.9478662,55180531.8783121 
 03/24  23:00:00,73691760.4017255,73691760.4017255,6791184.,6575985.97393312,55180531.8783121 
 03/24  24:00:00,58551584.4007083,58551584.4007083,6791184.,4802369.72793237,44533202.0018108 
 03/25  01:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/25  02:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/25  03:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/25  04:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/25  05:00:00,65270625.5340889,65270625.5340889,6791184.,3861201.79133858,33399901.5013581 
 03/25  06:00:00,237729830.723864,237729830.723864,6791184.,10829279.4087343,55180531.8783121 
 03/25  07:00:00,285195954.669157,285195954.669157,204126677.882446,11904362.0743774,73747828.5816088 
 03/25  08:00:00,238834935.897733,238834935.897733,190078656.280875,31171207.4024035,85222049.4632748 
 03/25  09:00:00,207103373.153615,207103373.153615,153764567.134251,31041441.2846384,93345241.7709671 
 03/25  10:00:00,182403111.905945,182403111.905945,123747971.01299,31041441.2846384,89863873.6390989 
 03/25  11:00:00,183730577.854911,183730577.854911,109717484.169811,31041441.2846384,97987065.9467912 
 03/25  12:00:00,148648867.107915,148648867.107915,104081324.911728,15520720.6423192,72652542.3166 
