Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/10  20:00:00,186142788.76781709,186142788.76781709,10933147.038306978,25143908.22512291,59822356.05413629 
 07/10  21:00:00,184382948.1566117,184382948.1566117,6791184.0,26303943.895732467,55180531.87831212 
 07/10  22:00:00,80271371.63626296,80271371.63626296,6791184.0,13151971.947866233,55180531.87831212 
 07/10  23:00:00,73691760.40172555,73691760.40172553,6791184.0,6575985.9739331169,55180531.87831212 
 07/10  24:00:00,58551584.40070834,58551584.40070834,6791184.0,4802369.727932371,44533202.00181078 
 07/11  01:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/11  02:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/11  03:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/11  04:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/11  05:00:00,55487075.11373618,55487075.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/11  06:00:00,153686584.08992089,153686584.08992089,6791184.0,9128451.236271816,55180531.87831212 
 07/11  07:00:00,223774120.99437023,223774120.99437023,6791184.0,31789563.831746945,95796493.41677365 
 07/11  08:00:00,438023439.87186929,438023439.87186929,6791184.0,94282758.4739545,204227663.7591693 
 07/11  09:00:00,423238890.2357256,423238890.2357256,6791184.0,93124323.85391507,174055806.61631219 
 07/11  10:00:00,449529053.84769776,449529053.84769776,6791184.0,93124323.85391507,167093070.35257594 
 07/11  11:00:00,479438446.19460389,479438446.19460389,15975166.09311158,93124323.85391507,174055806.61631219 
 07/11  12:00:00,471696319.9593264,471696319.9593264,25881131.49223352,93124323.85391507,177667514.30607478 
 07/11  13:00:00,477708372.00371286,477708372.00371286,25672251.11574517,93124323.85391507,179858086.8360924 
 07/11  14:00:00,470850136.63581678,470850136.63581678,15532438.85121816,93124323.85391507,167093070.35257594 
 07/11  15:00:00,468478477.0381293,468478477.0381293,15496115.759059133,93124323.85391507,167093070.35257594 
 07/11  16:00:00,489093563.8929696,489093563.8929696,20398802.026817826,93124323.85391507,177537174.74818034 
 07/11  17:00:00,383286178.9937016,383286178.9937016,11047719.84278417,51735735.47439728,140923939.57316489 
 07/11  18:00:00,252721902.85052143,252721902.85052143,10989893.664691132,31041441.284638365,69106004.40578464 
 07/11  19:00:00,228183417.21564544,228183417.21564544,6791184.0,31457911.304291488,59822356.05413629 
 07/11  20:00:00,199106249.1017111,199106249.1017111,10935122.098458283,25131182.776453578,59822356.05413629 
 07/11  21:00:00,182224141.57151143,182224141.57151146,6791184.0,26303943.895732467,55180531.87831212 
 07/11  22:00:00,80271371.63626296,80271371.63626296,6791184.0,13151971.947866233,55180531.87831212 
 07/11  23:00:00,73691760.40172555,73691760.40172553,6791184.0,6575985.9739331169,55180531.87831212 
 07/11  24:00:00,58551584.40070834,58551584.40070834,6791184.0,4802369.727932371,44533202.00181078 
 07/12  01:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/12  02:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/12  03:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/12  04:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/12  05:00:00,55487075.11373618,55487075.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/12  06:00:00,77734504.1530295,77734504.1530295,6791184.0,9006795.87263348,55180531.87831212 
 07/12  07:00:00,166751879.1072808,166751879.1072808,6791184.0,31096780.25701894,95796493.41677365 
 07/12  08:00:00,378607584.2337156,378607584.2337156,6791184.0,93124323.85391507,204227663.7591693 
 07/12  09:00:00,360310632.4033443,360310632.4033443,6791184.0,93124323.85391507,174055806.61631219 
 07/12  10:00:00,366454070.9626777,366454070.9626777,6791184.0,93124323.85391507,167093070.35257594 
 07/12  11:00:00,392978351.76246055,392978351.76246055,15973900.978752768,93124323.85391507,174055806.61631219 
 07/12  12:00:00,396350087.02576526,396350087.02576526,25872661.368039758,93124323.85391507,177667514.30607478 
 07/12  13:00:00,405890411.33498206,405890411.3349821,25665409.05324312,93124323.85391507,179858086.8360924 
 07/12  14:00:00,391769587.12923666,391769587.12923666,15542297.574507343,93124323.85391507,167093070.35257594 
 07/12  15:00:00,406023479.353182,406023479.35318198,15508370.202143878,93124323.85391507,167093070.35257594 
 07/12  16:00:00,415579813.170887,415579813.170887,20402502.597558328,93124323.85391507,177537174.74818034 
 07/12  17:00:00,298078072.50678738,298078072.50678738,11034522.56381008,51735735.47439728,140923939.57316489 
 07/12  18:00:00,181787689.63118036,181787689.63118036,10985993.783274342,31041441.284638365,69106004.40578464 
 07/12  19:00:00,170680215.1295821,170680215.12958215,6791184.0,31368408.77520661,59822356.05413629 
 07/12  20:00:00,160856132.5855999,160856132.58559997,10930067.761164826,25310866.260383596,59822356.05413629 
 07/12  21:00:00,150555825.52701909,150555825.52701909,6791184.0,26303943.895732467,55180531.87831212 
 07/12  22:00:00,80271371.63626296,80271371.63626296,6791184.0,13151971.947866233,55180531.87831212 
 07/12  23:00:00,73691760.40172555,73691760.40172553,6791184.0,6575985.9739331169,55180531.87831212 
 07/12  24:00:00,58551584.40070834,58551584.40070834,6791184.0,4802369.727932371,44533202.00181078 
 07/13  01:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/13  02:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/13  03:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/13  04:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/13  05:00:00,55487075.11373618,55487075.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/13  06:00:00,77590334.77557963,77590334.77557962,6791184.0,9071996.692966134,55180531.87831212 
 07/13  07:00:00,157739171.03366424,157739171.03366427,6791184.0,31190295.57540751,95796493.41677365 
 07/13  08:00:00,380569510.70502099,380569510.705021,6791184.0,93124323.85391507,204227663.7591693 
 07/13  09:00:00,379205567.28258517,379205567.28258517,6791184.0,93124323.85391507,174055806.61631219 
 07/13  10:00:00,379334900.22910258,379334900.22910258,6791184.0,93124323.85391507,167093070.35257594 
 07/13  11:00:00,397569221.38136109,397569221.3813611,15972830.888931802,93124323.85391507,174055806.61631219 
 07/13  12:00:00,407544194.0084946,407544194.0084946,25864046.210095835,93124323.85391507,177667514.30607478 
 07/13  13:00:00,431874526.65256097,431874526.6525609,23828418.62722033,93124323.85391507,179858086.8360924 
 07/13  14:00:00,422416610.8467764,422416610.8467764,17251829.95668241,93124323.85391507,167093070.35257594 
 07/13  15:00:00,429182878.9508831,429182878.9508831,15518947.028965053,93124323.85391507,167093070.35257594 
 07/13  16:00:00,446291940.93223747,446291940.93223747,20408992.942412676,93124323.85391507,177537174.74818034 
 07/13  17:00:00,337737990.3862427,337737990.3862426,11050376.547790934,51735735.47439728,140923939.57316489 
 07/13  18:00:00,218503697.96913357,218503697.96913357,10983753.517995382,31041441.284638365,69106004.40578464 
 07/13  19:00:00,197812953.10931749,197812953.10931749,6791184.0,31506248.874176556,59822356.05413629 
 07/13  20:00:00,179629359.70210517,179629359.70210517,6791184.0,25298140.811714259,59822356.05413629 
 07/13  21:00:00,176132217.8943401,176132217.89434017,6791184.0,26303943.895732467,55180531.87831212 
 07/13  22:00:00,80271371.63626296,80271371.63626296,6791184.0,13151971.947866233,55180531.87831212 
 07/13  23:00:00,73691760.40172555,73691760.40172553,6791184.0,6575985.9739331169,55180531.87831212 
 07/13  24:00:00,58551584.40070834,58551584.40070834,6791184.0,4802369.727932371,44533202.00181078 
 07/14  01:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  02:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  03:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  04:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  05:00:00,44236450.70955594,44236450.70955594,6791184.0,3861201.791338584,33399901.5013581 
 07/14  06:00:00,97173257.97113744,97173257.97113742,6791184.0,9019521.32130281,55180531.87831212 
 07/14  07:00:00,136975731.6562785,136975731.65627847,6791184.0,10359230.694671642,73747828.58160882 
 07/14  08:00:00,201584589.9187506,201584589.9187506,6791184.0,31041441.284638365,85222049.46327476 
 07/14  09:00:00,227050885.16337053,227050885.16337059,6791184.0,31041441.284638365,93345241.77096707 
 07/14  10:00:00,226857964.3852338,226857964.38523383,6791184.0,31041441.284638365,89863873.63909894 
 07/14  11:00:00,240078284.36979718,240078284.36979718,6791184.0,31041441.284638365,97987065.94679125 
 07/14  12:00:00,199212461.87520189,199212461.87520189,6791184.0,15520720.642319182,72652542.31660003 
 07/14  13:00:00,192679941.41378428,192679941.41378428,6791184.0,15520720.642319182,63368893.96495168 
 07/14  14:00:00,195827503.2910647,195827503.2910647,6791184.0,15520720.642319182,57566613.74517146 
 07/14  15:00:00,199757251.5699567,199757251.56995673,6791184.0,15520720.642319182,52924789.569347288 
 07/14  16:00:00,195643100.8369165,195643100.8369165,6791184.0,15520720.642319182,54085245.61330333 
 07/14  17:00:00,156902303.4666037,156902303.4666037,6791184.0,5173573.547439723,48348135.17247035 
 07/14  18:00:00,107591167.87282989,107591167.87282989,6791184.0,5173573.547439723,41385398.90873409 
