Date/Time,CORE_BOTTOM:Zone Mean Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),CORE_MID:Zone Mean Air Temperature [C](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Mean Air Temperature [C](Hourly) 
 07/26  12:00:00,23.999160797231818,25.713514625874607,24.778131482752739,24.661504707492523,23.999214597139305,23.9991512809147,23.998857951635075,23.998908895526509,23.998910551905419,23.947543590248246,23.9989726164022,23.999050679734564,23.995746075836459,23.76004852253171,23.998949651102238,23.998989879199145,23.998998231612373,23.95248360966308 
 07/26  13:00:00,23.999288166096233,25.676121229073315,24.77669465728234,24.69427686874175,23.999214734889674,23.99921582981745,23.998866639532826,23.998787220825674,23.998912691612959,23.998399322309447,23.998927423054675,23.99887905489663,23.99590512447379,23.97852395224645,23.998899351658737,23.998821631728167,23.998945310923554,23.9982300627726 
 07/26  14:00:00,23.99913194568194,25.69896718627112,24.790324861075527,24.725482117923947,23.99911918022016,23.999134620390238,23.998828405919164,23.998712343808557,23.998825183416174,23.998531611652607,23.99884425201943,23.998734910558697,23.99738033428643,23.998500120393545,23.9988485091607,23.99873304651615,23.998843103288828,23.99854230492514 
 07/26  15:00:00,23.999084054358307,25.806766197944027,24.804990741656864,24.74047661614207,23.99908421764603,23.999108430153045,23.99887700366224,23.99878855937012,23.998926654939255,23.998644466119367,23.998917356052418,23.998833352988635,23.997656362935439,23.998649783224225,23.998890201164696,23.998801928160018,23.998939566561739,23.998643477506304 
 07/26  16:00:00,23.999138192795447,25.81984805357251,24.830060859784174,24.755156417373095,23.99916369475582,23.99918620424284,23.998977487701873,23.998889420395657,23.999083476312074,23.998987576442109,23.999015094445665,23.998932775836584,23.997920052775993,23.999047506347439,23.999000431687287,23.99891413757436,23.999115294360807,23.999020350775905 
 07/26  17:00:00,23.999575344865478,25.738104139158439,24.899278614424256,24.780412786881354,23.99967606600822,23.999854704656415,23.99964180692436,23.86384553690977,23.999714664005688,23.999785715319065,23.999399150933308,23.57189102786147,23.996773773678944,23.999503066650747,23.999492051182665,23.688667818493614,23.999563496411338,23.999623219335285 
 07/26  18:00:00,23.75543278428563,25.41574194106648,24.85138177002608,24.774990672571009,23.856535181669849,23.981160093683248,23.999529158507764,23.397120610235587,23.96033606674485,23.816824722925383,23.976571546664755,23.052947049184973,23.82058885338354,23.673895481934239,23.999640449686255,23.227309540170269,23.955378233081949,23.814154395129763 
 07/26  19:00:00,23.328910899730958,24.961548556855818,24.710451150552264,24.53220135551458,23.742913258938594,23.85335587955715,23.972215016312434,22.95371033544457,23.61350892780555,23.268103452325719,23.67720184182096,22.602501195854477,23.39835145462801,23.06262353760429,23.992871467919615,22.820398991160887,23.62855404980748,23.292755096407939 
 07/26  20:00:00,23.09174732014812,24.446484645987018,24.556863518782444,24.300660848148835,23.62137029646943,23.662180859289685,23.720908710339065,22.562192576760574,23.235792049552566,22.758690571428305,23.335884347442709,22.220303961610719,23.024164782425005,22.544398005694086,23.8246354186848,22.483406340400724,23.306884362137084,22.834037599723837 
 07/26  21:00:00,22.829853217776845,23.980712214196016,24.4044171792347,24.10333646149957,23.515268441780294,23.47933051201133,23.441258404801375,22.24191449414989,22.916412697538374,22.36159323806777,23.071297390028087,21.93280334237449,22.73680561295871,22.169138906293065,23.614733844665968,22.223784844086159,23.051063812493298,22.494596087023376 
 07/26  22:00:00,24.13632340745682,24.02995553809476,24.768623121062555,24.518105194231099,24.733274912937284,24.682897698200585,24.472795785486679,23.96525393249918,24.31344546598676,24.14058863782949,24.006999450312077,23.506893395135827,23.923923255769354,23.733840448683908,24.59527276604878,23.997696191918935,24.423491613338059,24.249095568979688 
 07/26  23:00:00,25.064579894302129,24.223433013139265,25.047147366854728,24.835362997207825,25.60846287313103,25.466697625753946,24.942941952120646,24.75403132433275,24.95347179235568,24.929257999311785,24.53014321068831,24.33754302846186,24.56030227734321,24.533694035256205,25.1198710028968,24.867430371749316,25.115664668386004,25.09036500743138 
 07/26  24:00:00,25.067790021136739,24.287194110731705,25.090025001522738,24.870536283663914,25.63655225912463,25.479444792203503,24.883545678659364,24.749767230819253,24.914972519266859,24.911444881525165,24.454484847395756,24.323223794390889,24.502387090155588,24.495258733691338,25.072588512568765,24.888080996479716,25.09528378398762,25.0889003807367 
 07/27  01:00:00,25.05361722335472,24.269915460508306,25.08197236796585,24.855413768677239,25.645045084320864,25.47088153363388,24.803391940961963,24.686111346230356,24.83610154723701,24.83544582206569,24.34801040535133,24.243385655750488,24.39588058634257,24.392027952019313,24.979114241501074,24.826553972660258,25.006496448624508,25.009947732341716 
 07/27  02:00:00,25.047344574094909,24.219170828030899,25.08369247591969,24.84643565862161,25.660307405958457,25.46311008722006,24.77096107391511,24.66484221334255,24.803204501197116,24.80040557044272,24.30019990417906,24.206006947285294,24.34454794695889,24.33926536451668,24.959394405566383,24.820858566568626,24.98662434372139,24.987504402820595 
 07/27  03:00:00,25.04190829535699,24.195586798002343,25.077091680656979,24.83325207989714,25.673328254423056,25.454632044707055,24.77088084542498,24.67417714495987,24.801661239896558,24.794837456832757,24.317451797640527,24.231738399210458,24.359053582240155,24.34774837878112,24.9851064145726,24.858020923336857,25.010209266215154,25.004567954151179 
