Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/10  14:00:00,383460277.358181,383460277.358181,9232083.36653955,96660690.5880898,167093070.352576 
 08/10  15:00:00,393289037.423191,393289037.423191,13006118.8737517,96660690.5880898,167093070.352576 
 08/10  16:00:00,402720869.300724,402720869.300724,13212650.9206493,96660690.5880898,177537174.74818 
 08/10  17:00:00,299509547.184703,299509547.184703,8747043.20645019,53784005.6163959,140923939.573165 
 08/10  18:00:00,188123577.622369,188123577.622369,8690384.94039346,33009541.1090784,69106004.4057846 
 08/10  19:00:00,174148454.09456,174148454.09456,4597200.,37118746.9648413,59822356.0541363 
 08/10  20:00:00,187534375.804784,187534375.804784,4597200.,27302827.8427063,59822356.0541363 
 08/10  21:00:00,179179565.879607,179179565.879607,4597200.,27302827.8427063,55180531.8783121 
 08/10  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/10  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/10  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/11  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/11  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/11  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/11  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/11  05:00:00,80258429.8383602,80258429.8383602,4597200.,15830927.3450227,44533202.0018108 
 08/11  06:00:00,133368421.444933,133368421.444933,4597200.,13023605.7664968,55180531.8783121 
 08/11  07:00:00,233778187.978618,233778187.978618,4597200.,33776068.415534,95796493.4167736 
 08/11  08:00:00,382218656.949106,382218656.949106,4597200.,97171658.6532525,204227663.759169 
 08/11  09:00:00,358068543.527113,358068543.527113,4597200.,96735945.4121163,174055806.616312 
 08/11  10:00:00,355012140.883938,355012140.883938,5435862.71578505,96660690.5880898,167093070.352576 
 08/11  11:00:00,367671610.808301,367671610.808301,16728715.916582,96660690.5880898,174055806.616312 
 08/11  12:00:00,375941360.729009,375941360.729009,17942915.4026902,96660690.5880898,177667514.306075 
